,price,mileage,transmission,emission_class,fuel,link,co2,brand,model,warranty,year,brand_model
0,14490.0,36220.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/alluremanueel/id/4904708,97.0,peugeot,2008,12.0,2020,peugeot 2008
2,24900.0,37944.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4903222,105.0,peugeot,2008,12.0,2023,peugeot 2008
3,13950.0,54964.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-ss-active-pack/id/4903195,105.0,peugeot,2008,12.0,2021,peugeot 2008
4,12500.0,107666.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-allure-12cc-110pk/id/4903206,103.0,peugeot,2008,12.0,2018,peugeot 2008
5,27499.0,67051.0,automatic,Euro 6d,hybrid - petrol,https://gocar.be/en/cars/peugeot/408/16-hybrid-gt/id/4903855,28.0,peugeot,408,12.0,2022,peugeot 408
6,15690.0,118088.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-cruise-control-pdc-va-camera-full-led-17-lm-velgen-stoelverwarming/id/4904001,139.0,peugeot,2008,0.0,2020,peugeot 2008
7,20990.0,36559.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/pt-gt-line-automaat-camera-led-topdeal/id/4904387,134.0,peugeot,2008,0.0,2023,peugeot 2008
8,14990.0,58380.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12i-cameracapteursledfull-options1er-proprio/id/4904388,103.0,peugeot,2008,12.0,2021,peugeot 2008
9,25990.0,20200.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/allure-12-puretech-eat8/id/4902067,136.0,peugeot,408,0.0,2023,peugeot 408
10,6990.0,96031.0,manual,Euro 6b,petrol,https://gocar.be/en/cars/peugeot/2008/2008-12i-active-nvl-distrib-gps-185-x-42-m/id/4902730,103.0,peugeot,2008,12.0,2015,peugeot 2008
11,18950.0,3127.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-100-style-parksens-carplay-lane-a/id/4902344,117.0,peugeot,2008,12.0,2025,peugeot 2008
12,5450.0,131762.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12i-export-ou-marchand/id/4902732,117.0,peugeot,2008,0.0,2019,peugeot 2008
14,16900.0,30443.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-96kw/id/4902528,125.0,peugeot,2008,12.0,2022,peugeot 2008
15,16990.0,82261.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-boite-auto-camera-pdc-navi-clim-attache-rem/id/4902875,136.0,peugeot,2008,12.0,2022,peugeot 2008
16,24900.0,21402.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/automaat-130pk-360-camera-dodehoekdet-zetelverw-parkeers-va/id/4902621,117.0,peugeot,408,0.0,2024,peugeot 408
17,24975.0,5.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6/id/4902652,110.0,peugeot,2008,0.0,2025,peugeot 2008
18,24975.0,5.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6-app-connectsensoren-acht/id/4902653,110.0,peugeot,2008,0.0,2025,peugeot 2008
19,10950.0,77220.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/gt-line-12-benzine-110/id/4902673,111.0,peugeot,2008,12.0,2019,peugeot 2008
20,11990.0,44489.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/airco-pdc-navi-topdeal/id/4902883,110.0,peugeot,2008,0.0,2018,peugeot 2008
22,28850.0,10947.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-100-allure-gps-by-app-led-lights-alu17/id/4902948,0.0,peugeot,2008,3.0,2024,peugeot 2008
23,5900.0,124000.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/pure-tech-allure/id/4901920,114.0,peugeot,2008,0.0,2015,peugeot 2008
24,14099.0,63040.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-active/id/4901451,125.0,peugeot,2008,12.0,2020,peugeot 2008
25,13480.0,38129.0,automatic,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-81kw-ss-eat6-signature/id/4900921,129.0,peugeot,2008,12.0,2019,peugeot 2008
26,23995.0,29852.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4901203,137.0,peugeot,2008,12.0,2024,peugeot 2008
27,35650.0,40569.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-gps-led/id/4901821,0.0,peugeot,2008,3.0,2024,peugeot 2008
28,21490.0,47685.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure360-cameraall-season-bandenkeyless/id/4901662,137.0,peugeot,2008,12.0,2024,peugeot 2008
29,18399.0,11573.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4901758,140.0,peugeot,2008,12.0,2020,peugeot 2008
30,21990.0,53661.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/408/allure-pack/id/4901509,138.0,peugeot,408,12.0,2023,peugeot 408
31,21399.0,35462.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4900776,137.0,peugeot,2008,12.0,2024,peugeot 2008
32,9250.0,51000.0,manual,Euro 6b,petrol,https://gocar.be/en/cars/peugeot/2008/12-e-thp-allure-042016-51000-km/id/4899513,110.0,peugeot,2008,12.0,2016,peugeot 2008
34,23690.0,22815.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130-gt-cimate-control-cruise-control-led-achteruitrij-camera-navigatie-parkeersensor-achter-lichtmetalen-velgen-led-dab/id/4898441,126.0,peugeot,2008,0.0,2023,peugeot 2008
35,24000.0,4752.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/turbo-allure-eat8/id/4898387,137.0,peugeot,2008,24.0,2025,peugeot 2008
36,19650.0,31953.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-50kwh/id/4898908,117.0,peugeot,2008,12.0,2021,peugeot 2008
37,16490.0,46796.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure/id/4899000,103.0,peugeot,2008,12.0,2021,peugeot 2008
38,28850.0,18690.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-100-allure-gps-by-app-led-lights-alu17/id/4898682,0.0,peugeot,2008,3.0,2024,peugeot 2008
39,4990.0,108286.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-carplay-toit-pano-ac/id/4899211,114.0,peugeot,2008,0.0,2016,peugeot 2008
40,17990.0,70000.0,automatic,Euro 6d-TEMP,diesel,https://gocar.be/en/cars/peugeot/2008/allurecuirnaviradarjantesled-intelligent/id/4899178,117.0,peugeot,2008,12.0,2022,peugeot 2008
41,22995.0,35006.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/allure-50-kwh-allure-50-kwh-at-gps-camera-pdc-cruiseacc-halfleder-alu-17/id/4897830,117.0,peugeot,2008,0.0,2023,peugeot 2008
42,28300.0,20.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/hybrid-145-e-dcs6-allure/id/4897807,112.0,peugeot,2008,24.0,2025,peugeot 2008
43,22950.0,31577.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12t-allure-automaat/id/4897258,136.0,peugeot,408,12.0,2023,peugeot 408
44,23998.0,52075.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-camera-full-led/id/4898068,136.0,peugeot,408,12.0,2024,peugeot 408
45,6990.0,90000.0,manual,Euro 6b,petrol,https://gocar.be/en/cars/peugeot/2008/12istylegpsaircopdccruisebletooth/id/4897885,117.0,peugeot,2008,12.0,2017,peugeot 2008
46,14985.0,78738.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/active-pack-12-park-assistent-trekhaak/id/4897136,123.0,peugeot,2008,0.0,2022,peugeot 2008
47,23650.0,30771.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12i-gt-eat8-full-option/id/4897583,1.0,peugeot,2008,24.0,2024,peugeot 2008
48,28590.0,14140.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-allure-130-automaat-navigatie-carplayandroid-auto-climate-control-adaptive-cruise-control-virtual-cockpit-pdc-va-360-camera-full-led-lm-velgen/id/4897441,136.0,peugeot,408,0.0,2024,peugeot 408
49,23750.0,27574.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12i-eat8-gt-full-option/id/4897618,1.0,peugeot,2008,24.0,2024,peugeot 2008
51,14495.0,61726.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-style-camera-22-61000km-85266/id/4897009,123.0,peugeot,2008,12.0,2022,peugeot 2008
52,6990.0,70529.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/allure/id/4896691,103.0,peugeot,2008,0.0,2017,peugeot 2008
54,18985.0,11675.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-allure-camera-24-11000km-25189/id/4896325,126.0,peugeot,2008,12.0,2024,peugeot 2008
55,18499.0,34937.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4896339,139.0,peugeot,2008,12.0,2020,peugeot 2008
56,9999.0,42005.0,manual,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12-e-vti-style/id/4896420,140.0,peugeot,2008,12.0,2019,peugeot 2008
57,20995.0,26608.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-allure-gps-led-lights-alu17/id/4896671,0.0,peugeot,2008,3.0,2024,peugeot 2008
58,7999.0,58500.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/n-a/id/4896951,117.0,peugeot,2008,0.0,2016,peugeot 2008
59,21990.0,94698.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-led-lichtmetalen-velgen-parkeer-sensoren-cruise-control/id/4895615,133.0,peugeot,2008,0.0,2023,peugeot 2008
60,19299.0,46101.0,automatic,Euro 6,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-electric-drive-57-kw-e-active/id/4895696,117.0,peugeot,2008,12.0,2021,peugeot 2008
61,19998.0,68533.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/408-allure-auto-full-led/id/4895186,136.0,peugeot,408,12.0,2023,peugeot 408
62,24450.0,39689.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130-ss-eat8-gt/id/4895253,136.0,peugeot,408,12.0,2022,peugeot 408
63,21599.0,20422.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-allure-automaat/id/4895389,137.0,peugeot,2008,12.0,2024,peugeot 2008
64,21899.0,31307.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4895383,137.0,peugeot,2008,12.0,2024,peugeot 2008
67,27490.0,34776.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/gt-12-benzine-130-eat-8/id/4894203,136.0,peugeot,408,12.0,2023,peugeot 408
69,16499.0,10501.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892386,126.0,peugeot,2008,12.0,2021,peugeot 2008
71,13399.0,58141.0,automatic,Euro 6d-TEMP,diesel,https://gocar.be/en/cars/peugeot/2008/15-blue-hdi-allure/id/4892451,139.0,peugeot,2008,12.0,2018,peugeot 2008
72,25690.0,7821.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130p-automaat-allure-pack-climate-control-cruise-control-parkeersensoren-led-navigatie-apple-carplay-android-auto/id/4891977,137.0,peugeot,2008,0.0,2024,peugeot 2008
73,28300.0,10.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/n-a/id/4892808,112.0,peugeot,2008,24.0,2025,peugeot 2008
75,17399.0,29554.0,manual,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892411,125.0,peugeot,2008,12.0,2021,peugeot 2008
76,23900.0,54482.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130-ss-eat8-allure-pack-stuur-en-zetelverwarming-leder-carplay/id/4892259,136.0,peugeot,408,0.0,2023,peugeot 408
78,9199.0,82123.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892495,103.0,peugeot,2008,12.0,2017,peugeot 2008
79,13490.0,14000.0,automatic,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12i-automcarplaynavipdcgarantie/id/4892596,117.0,peugeot,2008,0.0,2019,peugeot 2008
80,25998.0,22301.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-full-led-camera-ja-19/id/4891597,136.0,peugeot,408,12.0,2024,peugeot 408
81,20950.0,32161.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-allure-pack/id/4891363,125.0,peugeot,2008,12.0,2023,peugeot 2008
82,17985.0,54864.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/electric-136pk-allure-22-54000km-24208/id/4890555,123.0,peugeot,2008,12.0,2022,peugeot 2008
83,18895.0,54639.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/electric-136pk-allure-22-54000km-24172/id/4890553,123.0,peugeot,2008,12.0,2022,peugeot 2008
85,40710.0,3926.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-allure-gps-camera-alu17-led-lights/id/4890953,0.0,peugeot,408,3.0,2024,peugeot 408
86,22950.0,29648.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-turbo-130-automaat-allure/id/4891072,136.0,peugeot,408,24.0,2024,peugeot 408
87,19950.0,10300.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/gt-12-benzine/id/4719950,126.0,peugeot,2008,12.0,2023,peugeot 2008
88,11250.0,84652.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4888745,105.0,peugeot,2008,0.0,2020,peugeot 2008
89,19990.0,54000.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/2008-puretech-130-eat8-allure/id/4890234,117.0,peugeot,2008,12.0,2023,peugeot 2008
91,17599.0,17996.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure-pack/id/4888777,115.0,peugeot,2008,12.0,2021,peugeot 2008
92,17990.0,14077.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/allure-12-thp-100-pk-6v/id/4889742,129.0,peugeot,2008,12.0,2024,peugeot 2008
93,25998.0,20138.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-full-led-camera-ja-19/id/4890370,136.0,peugeot,408,12.0,2024,peugeot 408
94,14699.0,51206.0,manual,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4888834,124.0,peugeot,2008,12.0,2021,peugeot 2008
95,15599.0,72480.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4888899,139.0,peugeot,2008,12.0,2020,peugeot 2008
96,17399.0,18510.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4888878,132.0,peugeot,2008,12.0,2021,peugeot 2008
97,22495.0,29771.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-line-drive-assist-vision-pack-led/id/4889873,0.0,peugeot,2008,3.0,2024,peugeot 2008
98,23900.0,14557.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-apple-car-play-camera-navi/id/4889883,117.0,peugeot,2008,0.0,2023,peugeot 2008
100,10899.0,23056.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4890087,103.0,peugeot,2008,12.0,2018,peugeot 2008
