,mileage,transmission,link,price,emission_class,fuel,co2,brand,model,warranty,year,brand_model
0,36220.0,manual,https://gocar.be/en/cars/peugeot/2008/alluremanueel/id/4904708,14490.0,Euro 6,petrol,97.0,peugeot,2008,12.0,2020.0,peugeot 2008
2,37944.0,automatic,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4903222,24900.0,Euro 6,petrol,105.0,peugeot,2008,12.0,2023.0,peugeot 2008
3,54964.0,manual,https://gocar.be/en/cars/peugeot/2008/puretech-ss-active-pack/id/4903195,13950.0,Euro 6,petrol,105.0,peugeot,2008,12.0,2021.0,peugeot 2008
4,107666.0,manual,https://gocar.be/en/cars/peugeot/2008/puretech-allure-12cc-110pk/id/4903206,12500.0,Euro 6,petrol,103.0,peugeot,2008,12.0,2018.0,peugeot 2008
5,67051.0,automatic,https://gocar.be/en/cars/peugeot/408/16-hybrid-gt/id/4903855,27499.0,Euro 6d,hybrid - petrol,28.0,peugeot,408,12.0,2022.0,peugeot 408
6,118088.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-cruise-control-pdc-va-camera-full-led-17-lm-velgen-stoelverwarming/id/4904001,15690.0,Euro 6d,petrol,139.0,peugeot,2008,0.0,2020.0,peugeot 2008
7,36559.0,automatic,https://gocar.be/en/cars/peugeot/2008/pt-gt-line-automaat-camera-led-topdeal/id/4904387,20990.0,Euro 6d,petrol,134.0,peugeot,2008,0.0,2023.0,peugeot 2008
8,58380.0,automatic,https://gocar.be/en/cars/peugeot/2008/12i-cameracapteursledfull-options1er-proprio/id/4904388,14990.0,Euro 6d,petrol,103.0,peugeot,2008,12.0,2021.0,peugeot 2008
9,20200.0,automatic,https://gocar.be/en/cars/peugeot/408/allure-12-puretech-eat8/id/4902067,25990.0,Euro 6,petrol,136.0,peugeot,408,0.0,2023.0,peugeot 408
10,96031.0,manual,https://gocar.be/en/cars/peugeot/2008/2008-12i-active-nvl-distrib-gps-185-x-42-m/id/4902730,6990.0,Euro 6b,petrol,103.0,peugeot,2008,12.0,2015.0,peugeot 2008
11,3127.0,manual,https://gocar.be/en/cars/peugeot/2008/puretech-100-style-parksens-carplay-lane-a/id/4902344,18950.0,Euro 6,petrol,117.0,peugeot,2008,12.0,2025.0,peugeot 2008
14,30443.0,manual,https://gocar.be/en/cars/peugeot/2008/12-96kw/id/4902528,16900.0,Euro 6,petrol,125.0,peugeot,2008,12.0,2022.0,peugeot 2008
15,82261.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-boite-auto-camera-pdc-navi-clim-attache-rem/id/4902875,16990.0,Euro 6d,petrol,136.0,peugeot,2008,12.0,2022.0,peugeot 2008
16,21402.0,automatic,https://gocar.be/en/cars/peugeot/408/automaat-130pk-360-camera-dodehoekdet-zetelverw-parkeers-va/id/4902621,24900.0,Euro 6,petrol,117.0,peugeot,408,0.0,2024.0,peugeot 408
17,5.0,automatic,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6/id/4902652,24975.0,Euro 6,petrol,110.0,peugeot,2008,0.0,2025.0,peugeot 2008
18,5.0,automatic,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6-app-connectsensoren-acht/id/4902653,24975.0,Euro 6,petrol,110.0,peugeot,2008,0.0,2025.0,peugeot 2008
19,77220.0,manual,https://gocar.be/en/cars/peugeot/2008/gt-line-12-benzine-110/id/4902673,10950.0,Euro 5,petrol,111.0,peugeot,2008,12.0,2019.0,peugeot 2008
20,44489.0,automatic,https://gocar.be/en/cars/peugeot/2008/airco-pdc-navi-topdeal/id/4902883,11990.0,Euro 6,petrol,110.0,peugeot,2008,0.0,2018.0,peugeot 2008
22,10947.0,manual,https://gocar.be/en/cars/peugeot/2008/12-t-100-allure-gps-by-app-led-lights-alu17/id/4902948,28850.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
24,63040.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-active/id/4901451,14099.0,Euro 6d,petrol,125.0,peugeot,2008,12.0,2020.0,peugeot 2008
25,38129.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-81kw-ss-eat6-signature/id/4900921,13480.0,Euro 5,petrol,129.0,peugeot,2008,12.0,2019.0,peugeot 2008
26,29852.0,automatic,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4901203,23995.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
27,40569.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-gps-led/id/4901821,35650.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
